GEO_ID,NAME,S2301_C04_001E
06001,"Alameda County, California",5.1
06003,"Alpine County, California",17.8
06005,"Amador County, California",8.6
06007,"Butte County, California",8.7
06009,"Calaveras County, California",6.1
06011,"Colusa County, California",5.1
06013,"Contra Costa County, California",6.1
06015,"Del Norte County, California",8.3
06017,"El Dorado County, California",6.2
06019,"Fresno County, California",9.4
06021,"Glenn County, California",6.8
06023,"Humboldt County, California",8
06025,"Imperial County, California",15.3
06027,"Inyo County, California",5.2
06029,"Kern County, California",10.3
06031,"Kings County, California",8.4
06033,"Lake County, California",9.8
06035,"Lassen County, California",6.1
06037,"Los Angeles County, California",6.8
06039,"Madera County, California",8.3
06041,"Marin County, California",3.8
06043,"Mariposa County, California",8.7
06045,"Mendocino County, California",9.2
06047,"Merced County, California",12.7
06049,"Modoc County, California",8.1
06051,"Mono County, California",3.1
06053,"Monterey County, California",5.4
06055,"Napa County, California",5
06057,"Nevada County, California",6.4
06059,"Orange County, California",5.1
06061,"Placer County, California",4.9
06063,"Plumas County, California",6.4
06065,"Riverside County, California",8.6
06067,"Sacramento County, California",7.4
06069,"San Benito County, California",7.4
06071,"San Bernardino County, California",8.8
06073,"San Diego County, California",6.4
06075,"San Francisco County, California",4.7
06077,"San Joaquin County, California",8.7
06079,"San Luis Obispo County, California",4.6
06081,"San Mateo County, California",4.1
06083,"Santa Barbara County, California",6.1
06085,"Santa Clara County, California",4.8
06087,"Santa Cruz County, California",6.3
06089,"Shasta County, California",6.2
06091,"Sierra County, California",4.6
06093,"Siskiyou County, California",7.9
06095,"Solano County, California",7
06097,"Sonoma County, California",5.1
06099,"Stanislaus County, California",10.5
06101,"Sutter County, California",9.7
06103,"Tehama County, California",9.3
06105,"Trinity County, California",8.6
06107,"Tulare County, California",9.4
06109,"Tuolumne County, California",6.8
06111,"Ventura County, California",5.9
06113,"Yolo County, California",6.5
06115,"Yuba County, California",8.4
