State,GEOID,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
California,6007,Butte,2020,10,7,3,0,0,0,0,62,62,38,0,0,0,0,10,0
California,6011,Colusa,2020,14,12,2,0,0,0,0,72,65,17,0,0,0,0,14,0
California,6019,Fresno,2020,121,70,48,3,0,0,0,118,79,46,0,0,66,0,55,0
California,6025,Imperial,2020,57,27,28,2,0,0,0,114,83,52,0,0,0,0,57,0
California,6027,Inyo,2020,91,91,0,0,0,0,0,49,41,33,0,0,49,0,0,42
California,6029,Kern,2020,91,42,48,1,0,0,0,106,80,54,0,0,0,0,83,8
California,6031,Kings,2020,91,73,18,0,0,0,0,90,63,34,0,0,45,0,19,27
California,6039,Madera,2020,5,3,2,0,0,0,0,75,75,50,0,0,0,0,5,0
California,6043,Mariposa,2020,60,60,0,0,0,0,0,48,44,40,0,0,60,0,0,0
California,6047,Merced,2020,20,8,12,0,0,0,0,87,85,61,0,0,0,0,20,0
California,6057,Nevada,2020,121,117,4,0,0,0,0,64,47,41,0,0,96,0,25,0
California,6061,Placer,2020,11,6,5,0,0,0,0,74,61,46,0,0,0,0,11,0
California,6063,Plumas,2020,115,52,61,2,0,0,0,114,76,52,0,0,0,0,115,0
California,6065,Riverside,2020,121,106,14,0,0,1,0,207,51,37,0,0,39,0,31,51
California,6067,Sacramento,2020,60,31,29,0,0,0,0,89,77,50,0,0,0,0,60,0
California,6069,San Benito,2020,60,60,0,0,0,0,0,45,44,35,0,0,60,0,0,0
California,6071,San Bernardino,2020,60,55,5,0,0,0,0,80,48,42,0,0,60,0,0,0
California,6073,San Diego,2020,2,2,0,0,0,0,0,20,20,20,0,0,2,0,0,0
California,6079,San Luis Obispo,2020,31,30,1,0,0,0,0,56,44,33,0,0,25,0,6,0
California,6083,Santa Barbara,2020,61,59,2,0,0,0,0,55,45,40,1,0,51,0,9,0
California,6089,Shasta,2020,59,56,3,0,0,0,0,84,44,39,0,0,56,0,3,0
California,6099,Stanislaus,2020,10,6,4,0,0,0,0,74,74,45,0,0,0,0,10,0
California,6101,Sutter,2020,52,31,21,0,0,0,0,95,82,45,0,0,0,0,52,0
California,6107,Tulare,2020,60,41,18,1,0,0,0,111,79,39,0,0,40,0,20,0
California,6111,Ventura,2020,91,85,6,0,0,0,0,60,48,40,0,0,81,0,10,0
California,6113,Yolo,2020,3,3,0,0,0,0,0,38,38,35,0,0,0,0,3,0
